File::HomeDir::BEGIN@5	href=File-HomeDir-pm-632-line.html#5
Perl::Critic::UserProfile::BEGIN@10	href=Perl-Critic-UserProfile-pm-802-line.html#10
PPI::Structure::start	href=PPI-Structure-pm-446-line.html#166
PPI::Token::QuoteLike::Readline::BEGIN@45	href=PPI-Token-QuoteLike-Readline-pm-103-line.html#45
Perl::Tidy::FileWriter::BEGIN@22177	href=Perl-Tidy-pm-735-line.html#22177
Perl::Critic::UserProfile::_fix_defaults_key	href=Perl-Critic-UserProfile-pm-802-line.html#293
Perl::Critic::OptionsProcessor::BEGIN@18	href=Perl-Critic-OptionsProcessor-pm-804-line.html#18
Role::Tiny::BEGIN@1.85	href=Path-IsDev-Role-Matcher-Child-Exists-Any-Dir-pm-651-line.html#1
Path::Tiny::CORE:regcomp	href=Path-Tiny-pm-600-line.html#Path__Tiny__CORE_regcomp
Perl::Critic::Exception::Fatal::BEGIN@12	href=Perl-Critic-Exception-Fatal-pm-129-line.html#12
Perl::Critic::PolicyConfig::BEGIN@18	href=Perl-Critic-PolicyConfig-pm-173-line.html#18
Perl::Critic::Policy::ValuesAndExpressions::RequireNumberSeparators::BEGIN@16	href=Perl-RequireNumberSeparators-pm-319-line.html#16
Perl::Critic::Policy::Subroutines::RequireArgUnpacking::BEGIN@16	href=Perl-RequireArgUnpacking-pm-377-line.html#16
Path::FindDev::Object::BUILD	href=Path-FindDev-Object-pm-604-line.html#135
Perl::Critic::Policy::Variables::ProtectPrivateVars::BEGIN@10	href=Perl-Critic-Policy-Variables-ProtectPrivateVars-pm-243-line.html#10
List::MoreUtils::XS::BEGIN@4	href=List-MoreUtils-XS-pm-66-line.html#4
PPIx::Regexp::Constant::BEGIN@28	href=PPIx-Regexp-Constant-pm-822-line.html#28
Pod::Usage::BEGIN@21	href=Pod-Usage-pm-25-line.html#21
PPIx::Regexp::Token::Recursion::BEGIN@37	href=PPIx-Regexp-Token-Recursion-pm-897-line.html#37
Perl::Critic::Policy::Variables::ProhibitLocalVars::BEGIN@16	href=Perl-Critic-Policy-Variables-ProhibitLocalVars-pm-222-line.html#16
PPI::Token::Unknown::CORE:match	href=PPI-Token-Unknown-pm-91-line.html#PPI__Token__Unknown__CORE_match
File::Spec::Unix::abs2rel	href=File-Spec-Unix-pm-29-line.html#407
Perl::Critic::Policy::Variables::ProhibitReusedNames::default_severity	href=Perl-ProhibitReusedNames-pm-237-line.html#39
Perl::Critic::Policy::RegularExpressions::RequireDotMatchAnything::default_severity	href=Perl-RequireDotMatchAnything-pm-410-line.html#30
Perl::Tidy::Tokenizer::BEGIN@22644	href=Perl-Tidy-pm-735-line.html#22644
SelectSaver::BEGIN@39	href=SelectSaver-pm-572-line.html#39
Perl::Critic::Policy::Variables::ProhibitUnusedVariables::BEGIN@11	href=Perl-ProhibitUnusedVariables-pm-240-line.html#11
Devel::StackTrace::Frame::BEGIN@4	href=Devel-StackTrace-Frame-pm-125-line.html#4
Perl::Critic::Utils::McCabe::_count_logic_operators	href=Perl-Critic-Utils-McCabe-pm-353-line.html#120
main::BEGIN@16	href=perlcritic-1-line.html#16
Perl::Critic::Policy::CodeLayout::RequireTidyCode::BEGIN@11	href=Perl-Critic-Policy-CodeLayout-RequireTidyCode-pm-734-line.html#11
Perl::Critic::Config::BEGIN@17	href=Perl-Critic-Config-pm-159-line.html#17
File::Which::BEGIN@16	href=File-Which-pm-633-line.html#16
Perl::Critic::Policy::ClassHierarchies::ProhibitExplicitISA::BEGIN@11	href=Perl-ProhibitExplicitISA-pm-751-line.html#11
Readonly::CORE:subst	href=Readonly-pm-14-line.html#Readonly__CORE_subst
Module::Runtime::BEGIN@2.70	href=Path-IsDev-Heuristic-Changelog-pm-647-line.html#2
PPI::Structure::Unknown::BEGIN@46	href=PPI-Structure-Unknown-pm-454-line.html#46
Perl::Critic::PolicyParameter::BEGIN@30	href=Perl-Critic-PolicyParameter-pm-203-line.html#30
Perl::Critic::Policy::Documentation::PodSpelling::CORE:qr	href=Perl-Critic-Policy-Documentation-PodSpelling-pm-565-line.html#Perl__Critic__Policy__Documentation__PodSpelling__CORE_qr
Exporter::Tiny::import	href=Exporter-Tiny-pm-65-line.html#14
PPIx::Regexp::Token::Unknown::BEGIN@62	href=PPIx-Regexp-Token-Unknown-pm-927-line.html#62
Email::Address::BEGIN@361	href=Email-Address-pm-311-line.html#361
Perl::Critic::Policy::InputOutput::ProhibitInteractiveTest::BEGIN@12	href=Perl-ProhibitInteractiveTest-pm-526-line.html#12
Role::Tiny::apply_roles_to_package	href=Role-Tiny-pm-621-line.html#198
PPIx::Regexp::Util::BEGIN@8	href=PPIx-Regexp-Util-pm-820-line.html#8
Perl::Critic::Config::BEGIN@10	href=Perl-Critic-Config-pm-159-line.html#10
Perl::Critic::Policy::Subroutines::ProhibitSubroutinePrototypes::applies_to	href=Perl-ProhibitSubroutinePrototypes-pm-368-line.html#30
PPI::Token::Quote::Literal::string	href=PPI-Token-Quote-Literal-pm-95-line.html#70
PPI::Statement::BEGIN@151	href=PPI-Statement-pm-429-line.html#151
Exception::Class::BEGIN@11	href=Exception-Class-pm-121-line.html#11
Config::Tiny::read	href=Config-Tiny-pm-803-line.html#16
PPI::Token::Operator::BEGIN@45	href=PPI-Token-Operator-pm-108-line.html#45
Exception::Class::Base::BEGIN@4	href=Exception-Class-Base-pm-122-line.html#4
File::Find::wrap_wanted	href=File-Find-pm-191-line.html#1053
File::HomeDir::Unix::BEGIN@7	href=File-HomeDir-Unix-pm-638-line.html#7
Perl::Critic::Config::BEGIN@22	href=Perl-Critic-Config-pm-159-line.html#22
PPI::Token::BEGIN@76	href=PPI-Token-pm-58-line.html#76
Perl::Critic::Policy::Objects::ProhibitIndirectSyntax::BEGIN@10	href=Perl-ProhibitIndirectSyntax-pm-422-line.html#10
Perl::Critic::Policy::Variables::ProhibitLocalVars::CORE:qr	href=Perl-Critic-Policy-Variables-ProhibitLocalVars-pm-222-line.html#Perl__Critic__Policy__Variables__ProhibitLocalVars__CORE_qr
Perl::Critic::Policy::Variables::RequireNegativeIndices::BEGIN@15	href=Perl-RequireNegativeIndices-pm-256-line.html#15
Module::Runtime::BEGIN@2	href=Path-IsDev-HeuristicSet-Basic-pm-619-line.html#2
Perl::Critic::Policy::Variables::ProhibitPackageVars::BEGIN@10	href=Perl-ProhibitPackageVars-pm-228-line.html#10
PPI::Token::_QuoteEngine::Full::CORE:match	href=PPI-Token-_QuoteEngine-Full-pm-96-line.html#PPI__Token___QuoteEngine__Full__CORE_match
Perl::Critic::Utils::split_nodes_on_comma	href=Perl-Critic-Utils-pm-52-line.html#983
Perl::Critic::Policy::Documentation::RequirePodLinksIncludeText::BEGIN@17	href=Perl-RequirePodLinksIncludeText-pm-673-line.html#17
Devel::InnerPackage::BEGIN@3	href=Devel-InnerPackage-pm-194-line.html#3
Perl::Critic::Policy::ClassHierarchies::ProhibitOneArgBless::BEGIN@12	href=Perl-ProhibitOneArgBless-pm-754-line.html#12
PPI::Token::Unknown::BEGIN@35	href=PPI-Token-Unknown-pm-91-line.html#35
PPIx::Regexp::Node::BEGIN@34	href=PPIx-Regexp-Node-pm-817-line.html#34
Perl::Critic::Policy::InputOutput::RequireEncodingWithUTF8Layer::BEGIN@12	href=Perl-RequireEncodingWithUTF8Layer-pm-556-line.html#12
Perl::Critic::Policy::CodeLayout::ProhibitQuotedWordLists::BEGIN@14	href=Perl-ProhibitQuotedWordLists-pm-717-line.html#14
PPI::BEGIN@25	href=PPI-pm-428-line.html#25
PPIx::Regexp::Token::CharClass::POSIX::Unknown::BEGIN@3	href=PPIx-Regexp-Token-CharClass-POSIX-Unknown-pm-879-line.html#3
Perl::Critic::Policy::Subroutines::ProhibitUnusedPrivateSubroutines::supported_parameters	href=Perl-ProhibitUnusedPrivateSubroutines-pm-371-line.html#36
Perl::Critic::Policy::RegularExpressions::ProhibitComplexRegexes::BEGIN@17	href=Perl-ProhibitComplexRegexes-pm-386-line.html#17
File::Glob::GLOB_CSH	href=File-Glob-pm-601-line.html#File__Glob__GLOB_CSH
PPIx::Regexp::Token::Recursion::__PPIX_TOKEN__recognize	href=PPIx-Regexp-Token-Recursion-pm-897-line.html#54
File::Copy::BEGIN@13	href=File-Copy-pm-737-line.html#13
Perl::Critic::OptionsProcessor::profile_strictness	href=Perl-Critic-OptionsProcessor-pm-804-line.html#174
File::Spec::BEGIN@4	href=File-Spec-pm-28-line.html#4
File::Spec::Unix::BEGIN@136	href=File-Spec-Unix-pm-29-line.html#136
PPIx::Regexp::Constant::BEGIN@41	href=PPIx-Regexp-Constant-pm-822-line.html#41
Pod::Select::BEGIN@242	href=Pod-Select-pm-48-line.html#242
Perl::Critic::Policy::Variables::RequireLocalizedPunctuationVars::CORE:qr	href=Perl-RequireLocalizedPunctuationVars-pm-253-line.html#Perl__Critic__Policy__Variables__RequireLocalizedPunctuationVars__CORE_qr
Perl::Critic::Policy::ErrorHandling::RequireCheckingReturnValueOfEval::supported_parameters	href=Perl-RequireCheckingReturnValueOfEval-pm-562-line.html#40
Perl::Critic::Policy::BuiltinFunctions::RequireBlockGrep::BEGIN@20	href=Perl-RequireBlockGrep-pm-790-line.html#20
Perl::Critic::Policy::NamingConventions::Capitalization::BEGIN@25	href=Perl-Capitalization-pm-425-line.html#25
Perl::Critic::Utils::POD::BEGIN@17	href=Perl-Critic-Utils-POD-pm-144-line.html#17
PPI::Token::Pod::CORE:match	href=PPI-Token-Pod-pm-78-line.html#PPI__Token__Pod__CORE_match
Perl::Critic::PolicyConfig::new	href=Perl-Critic-PolicyConfig-pm-173-line.html#31
Module::Runtime::BEGIN@1.49	href=Path-IsDev-Heuristic-Tool-Dzil-pm-642-line.html#1
Perl::Critic::Policy::TestingAndDebugging::ProhibitNoWarnings::BEGIN@15	href=Perl-ProhibitNoWarnings-pm-331-line.html#15
Perl::Critic::Exception::Configuration::Option::Policy::ParameterValue::BEGIN@22	href=Perl-ParameterValue-pm-174-line.html#22
PPI::Element::BEGIN@41	href=PPI-Element-pm-61-line.html#41
Errno::TIEHASH	href=Errno-pm-7-line.html#170
Config::AUTOLOAD	href=Config-pm-8-line.html#80
Perl::Critic::Policy::TestingAndDebugging::RequireUseWarnings::default_severity	href=Perl-RequireUseWarnings-pm-343-line.html#46
B::Keywords::BEGIN@348	href=B-Keywords-pm-55-line.html#348
Perl::Critic::Policy::ControlStructures::ProhibitCStyleForLoops::BEGIN@16	href=Perl-ProhibitCStyleForLoops-pm-684-line.html#16
Perl::Critic::Policy::InputOutput::ProhibitBarewordFileHandles::BEGIN@16	href=Perl-ProhibitBarewordFileHandles-pm-520-line.html#16
Perl::Critic::Policy::InputOutput::RequireEncodingWithUTF8Layer::BEGIN@19	href=Perl-RequireEncodingWithUTF8Layer-pm-556-line.html#19
Perl::Critic::Policy::CodeLayout::ProhibitHardTabs::default_severity	href=Perl-Critic-Policy-CodeLayout-ProhibitHardTabs-pm-711-line.html#46
Perl::Critic::Config::_policy_is_excluded	href=Perl-Critic-Config-pm-159-line.html#304
Module::Runtime::require_module	href=Module-Runtime-pm-618-line.html#303
PPI::Lexer::_statement	href=PPI-Lexer-pm-465-line.html#413
Data::OptList::__is_a	href=Data-OptList-pm-589-line.html#24
DynaLoader::CORE:ftdir	href=DynaLoader-pm-30-line.html#DynaLoader__CORE_ftdir
Perl::Critic::Policy::Miscellanea::ProhibitUselessNoCritic::BEGIN@19	href=Perl-ProhibitUselessNoCritic-pm-514-line.html#19
PPI::Statement::BEGIN@171	href=PPI-Statement-pm-429-line.html#171
PPI::Token::Word::BEGIN@41	href=PPI-Token-Word-pm-86-line.html#41
Devel::StackTrace::new	href=Devel-StackTrace-pm-124-line.html#18
PPI::Token::Quote::Double::BEGIN@40	href=PPI-Token-Quote-Double-pm-92-line.html#40
Perl::Critic::Policy::BuiltinFunctions::ProhibitLvalueSubstr::BEGIN@10	href=Perl-ProhibitLvalueSubstr-pm-763-line.html#10
Pod::Simple::BEGIN@6	href=Pod-Simple-pm-43-line.html#6
Perl::Critic::Policy::TestingAndDebugging::RequireUseWarnings::BEGIN@10	href=Perl-RequireUseWarnings-pm-343-line.html#10
PPI::Token::Quote::BEGIN@51	href=PPI-Token-Quote-pm-57-line.html#51
Pod::Parser::BEGIN@11	href=Pod-Parser-pm-49-line.html#11
Perl::Critic::Policy::Variables::ProhibitConditionalDeclarations::BEGIN@13	href=Perl-ProhibitConditionalDeclarations-pm-216-line.html#13
PPI::Structure::BEGIN@111	href=PPI-Structure-pm-446-line.html#111
Module::Pluggable::BEGIN@4	href=Module-Pluggable-pm-189-line.html#4
Data::OptList::BEGIN@9	href=Data-OptList-pm-589-line.html#9
PPI::Node::location	href=PPI-Node-pm-73-line.html#682
Perl::Critic::Policy::Variables::RequireLocalizedPunctuationVars::supported_parameters	href=Perl-RequireLocalizedPunctuationVars-pm-253-line.html#33
Perl::Tidy::Formatter::BEGIN@5952	href=Perl-Tidy-pm-735-line.html#5952
Cwd::BEGIN@209	href=Cwd-pm-192-line.html#209
PPI::Statement::Break::BEGIN@43	href=PPI-Statement-Break-pm-430-line.html#43
PPI::Token::Quote::Double::BEGIN@34	href=PPI-Token-Quote-Double-pm-92-line.html#34
PPI::Element::tokens	href=PPI-Element-pm-61-line.html#100
Perl::Critic::Policy::ValuesAndExpressions::ProhibitMagicNumbers::BEGIN@18	href=Perl-ProhibitMagicNumbers-pm-286-line.html#18
B::Keywords::BEGIN@10	href=B-Keywords-pm-55-line.html#10
Perl::Critic::Policy::Modules::ProhibitEvilModules::applies_to	href=Perl-Critic-Policy-Modules-ProhibitEvilModules-pm-478-line.html#104
Perl::Tidy::Formatter::BEGIN@10806	href=Perl-Tidy-pm-735-line.html#10806
Perl::Critic::Policy::Modules::RequireNoMatchVarsWithUseEnglish::BEGIN@14	href=Perl-RequireNoMatchVarsWithUseEnglish-pm-499-line.html#14
PPIx::Regexp::Token::Comment::CORE:qr	href=PPIx-Regexp-Token-Comment-pm-885-line.html#PPIx__Regexp__Token__Comment__CORE_qr
Exporter::Tiny::BEGIN@5.2	href=Exporter-Tiny-pm-65-line.html#5
Perl::Critic::Policy::BuiltinFunctions::ProhibitStringySplit::default_severity	href=Perl-ProhibitStringySplit-pm-775-line.html#28
Perl::Tidy::Formatter::BEGIN@5950	href=Perl-Tidy-pm-735-line.html#5950
Perl::Tidy::VerticalAligner::Line::BEGIN@19325	href=Perl-Tidy-pm-735-line.html#19325
Term::ANSIColor::BEGIN@26	href=Term-ANSIColor-pm-932-line.html#26
Perl::Critic::UserProfile::BEGIN@12	href=Perl-Critic-UserProfile-pm-802-line.html#12
Exporter::export	href=Exporter-pm-11-line.html#24
List::MoreUtils::PP::BEGIN@3	href=List-MoreUtils-PP-pm-69-line.html#3
File::HomeDir::Driver::BEGIN@7	href=File-HomeDir-Driver-pm-639-line.html#7
Path::IsDev::NegativeHeuristic::IsDev::IgnoreFile::excludes	href=Path-IsDev-NegativeHeuristic-IsDev-IgnoreFile-pm-626-line.html#70
B::Keywords::BEGIN@19	href=B-Keywords-pm-55-line.html#19
File::Spec::Unix::BEGIN@127	href=File-Spec-Unix-pm-29-line.html#127
Role::Tiny::apply_role_to_package	href=Role-Tiny-pm-621-line.html#196
File::Find::_find_opt	href=File-Find-pm-191-line.html#470
Perl::Critic::OptionsProcessor::criticism_fatal	href=Perl-Critic-OptionsProcessor-pm-804-line.html#216
List::MoreUtils::PP::BEGIN@334	href=List-MoreUtils-PP-pm-69-line.html#334
PPI::Statement::Null::BEGIN@46	href=PPI-Statement-Null-pm-437-line.html#46
Perl::Critic::Policy::BuiltinFunctions::ProhibitStringyEval::BEGIN@14	href=Perl-ProhibitStringyEval-pm-772-line.html#14
charnames::BEGIN@3	href=charnames-pm-721-line.html#3
Perl::Critic::Policy::BuiltinFunctions::ProhibitVoidMap::BEGIN@11	href=Perl-ProhibitVoidMap-pm-787-line.html#11
Perl::Critic::PolicyParameter::Behavior::StringList::__ANON__[/Users/timbo/perl5/perlbrew/perls/perl-5.18.2/lib/site_perl/5.18.2/Perl/Critic/PolicyParameter/Behavior/StringList.pm:60]	href=Perl-Critic-PolicyParameter-Behavior-StringList-pm-213-line.html#38
Perl::Critic::PolicyParameter::BEGIN@23	href=Perl-Critic-PolicyParameter-pm-203-line.html#23
Perl::Critic::Exception::Configuration::Option::BEGIN@18	href=Perl-Critic-Exception-Configuration-Option-pm-169-line.html#18
PPI::Statement::Given::BEGIN@37	href=PPI-Statement-Given-pm-441-line.html#37
Perl::Critic::Policy::CodeLayout::ProhibitParensWithBuiltins::BEGIN@17	href=Perl-ProhibitParensWithBuiltins-pm-714-line.html#17
Perl::Critic::Policy::InputOutput::RequireCheckedClose::BEGIN@15	href=Perl-RequireCheckedClose-pm-547-line.html#15
Perl::Critic::Policy::TestingAndDebugging::RequireTestLabels::BEGIN@10	href=Perl-RequireTestLabels-pm-337-line.html#10
Perl::Critic::Utils::all_perl_files	href=Perl-Critic-Utils-pm-52-line.html#1087
Perl::Critic::Policy::BuiltinFunctions::RequireGlobFunction::BEGIN@15	href=Perl-RequireGlobFunction-pm-796-line.html#15
Perl::Critic::Policy::BuiltinFunctions::ProhibitSleepViaSelect::BEGIN@15	href=Perl-ProhibitSleepViaSelect-pm-769-line.html#15
Perl::Critic::Utils::PPI::BEGIN@10	href=Perl-Critic-Utils-PPI-pm-135-line.html#10
PPI::Token::Regexp::Transliterate::BEGIN@40	href=PPI-Token-Regexp-Transliterate-pm-107-line.html#40
Perl::Tidy::Formatter::BEGIN@6292	href=Perl-Tidy-pm-735-line.html#6292
PPI::Statement::Package::BEGIN@68	href=PPI-Statement-Package-pm-438-line.html#68
Module::Runtime::BEGIN@4.48	href=Path-IsDev-NegativeHeuristic-PerlINC-pm-641-line.html#4
Perl::Critic::Policy::Subroutines::ProtectPrivateSubs::_parse_private_name_regex	href=Perl-ProtectPrivateSubs-pm-374-line.html#99
Perl::Critic::Exception::Configuration::Option::Global::BEGIN@10	href=Perl-Global-pm-166-line.html#10
Role::Tiny::_install_does	href=Role-Tiny-pm-621-line.html#414
utf8::CORE:match	href=utf8_heavy-pl-313-line.html#utf8__CORE_match
Module::Pluggable::Object::_is_legit	href=Module-Pluggable-Object-pm-190-line.html#136
IO::Handle::BEGIN@264	href=IO-Handle-pm-571-line.html#264
PPI::Token::Pod::__TOKENIZER__on_line_start	href=PPI-Token-Pod-pm-78-line.html#141
Perl::Critic::Policy::ValuesAndExpressions::ProhibitMagicNumbers::default_severity	href=Perl-ProhibitMagicNumbers-pm-286-line.html#93
Text::ParseWords::BEGIN@62	href=Text-ParseWords-pm-664-line.html#62
Encode::utf8::decode_xs	href=Encode-pm-34-line.html#Encode__utf8__decode_xs
Perl::Critic::Config::force	href=Perl-Critic-Config-pm-159-line.html#807
vars::BEGIN@8	href=vars-pm-9-line.html#8
PPIx::Regexp::Token::GroupType::Assertion::BEGIN@32	href=PPIx-Regexp-Token-GroupType-Assertion-pm-901-line.html#32
Perl::Critic::Policy::RegularExpressions::RequireDotMatchAnything::BEGIN@12	href=Perl-RequireDotMatchAnything-pm-410-line.html#12
Perl::Critic::Policy::ValuesAndExpressions::ProhibitNoisyQuotes::CORE:qr	href=Perl-ProhibitNoisyQuotes-pm-295-line.html#Perl__Critic__Policy__ValuesAndExpressions__ProhibitNoisyQuotes__CORE_qr
PPI::Token::Data::BEGIN@35	href=PPI-Token-Data-pm-114-line.html#35
re::CORE:match	href=re-pm-314-line.html#re__CORE_match
Role::Tiny::BEGIN@20	href=Role-Tiny-pm-621-line.html#20
Perl::Critic::Policy::Modules::ProhibitEvilModules::default_severity	href=Perl-Critic-Policy-Modules-ProhibitEvilModules-pm-478-line.html#102
Perl::Critic::Utils::McCabe::BEGIN@18	href=Perl-Critic-Utils-McCabe-pm-353-line.html#18
Perl::Critic::Utils::is_subroutine_name	href=Perl-Critic-Utils-pm-52-line.html#816
Perl::Critic::Policy::BuiltinFunctions::RequireBlockGrep::supported_parameters	href=Perl-RequireBlockGrep-pm-790-line.html#31
PPIx::Regexp::Structure::BEGIN@51	href=PPIx-Regexp-Structure-pm-829-line.html#51
Perl::Critic::Policy::CodeLayout::ProhibitTrailingWhitespace::BEGIN@18	href=Perl-ProhibitTrailingWhitespace-pm-720-line.html#18
Perl::Tidy::HtmlWriter::BEGIN@4959	href=Perl-Tidy-pm-735-line.html#4959
Role::Tiny::BEGIN@3.75	href=Path-File-pm-648-line.html#3
Perl::Critic::Theme::CORE:qr	href=Perl-Critic-Theme-pm-801-line.html#Perl__Critic__Theme__CORE_qr
Perl::Critic::Utils::BEGIN@19	href=Perl-Critic-Utils-pm-52-line.html#19
Perl::Critic::Policy::RegularExpressions::ProhibitUnusualDelimiters::BEGIN@11	href=Perl-ProhibitUnusualDelimiters-pm-404-line.html#11
File::Temp::BEGIN@95	href=File-Temp-pm-566-line.html#95
Perl::Tidy::Formatter::BEGIN@5948	href=Perl-Tidy-pm-735-line.html#5948
PPI::Exception::ParserRejection::BEGIN@7	href=PPI-Exception-ParserRejection-pm-464-line.html#7
Perl::Critic::UserProfile::source	href=Perl-Critic-UserProfile-pm-802-line.html#133
PPI::Token::BEGIN@67	href=PPI-Token-pm-58-line.html#67
PPIx::Regexp::Token::Comment::__PPIX_TOKEN__recognize	href=PPIx-Regexp-Token-Comment-pm-885-line.html#56
Perl::Critic::Policy::Variables::RequireLexicalLoopIterators::applies_to	href=Perl-RequireLexicalLoopIterators-pm-249-line.html#33
Perl::Critic::Policy::Miscellanea::ProhibitUselessNoCritic::BEGIN@12	href=Perl-ProhibitUselessNoCritic-pm-514-line.html#12
File::ShareDir::_dist_dir_new	href=File-ShareDir-pm-592-line.html#176
Perl::Critic::Policy::Documentation::PodSpelling::BEGIN@11	href=Perl-Critic-Policy-Documentation-PodSpelling-pm-565-line.html#11
Perl::Critic::Policy::Subroutines::ProhibitReturnSort::BEGIN@16	href=Perl-ProhibitReturnSort-pm-365-line.html#16
Perl::Critic::Utils::POD::BEGIN@18	href=Perl-Critic-Utils-POD-pm-144-line.html#18
Perl::Critic::Policy::BuiltinFunctions::ProhibitComplexMappings::BEGIN@13	href=Perl-ProhibitComplexMappings-pm-760-line.html#13
File::Spec::Functions::BEGIN@4	href=File-Spec-Functions-pm-193-line.html#4
Perl::Critic::OptionsProcessor::BEGIN@12	href=Perl-Critic-OptionsProcessor-pm-804-line.html#12
Perl::Critic::Exception::IO::BEGIN@24	href=Perl-Critic-Exception-IO-pm-145-line.html#24
parent::CORE:subst	href=parent-pm-577-line.html#parent__CORE_subst
Lingua::EN::Inflect::BEGIN@3	href=Lingua-EN-Inflect-pm-582-line.html#3
Perl::Critic::Policy::CodeLayout::RequireConsistentNewlines::BEGIN@16	href=Perl-RequireConsistentNewlines-pm-731-line.html#16
PPI::Structure::Condition::BEGIN@40	href=PPI-Structure-Condition-pm-448-line.html#40
version::CORE:regcomp	href=version-pm-250-line.html#version__CORE_regcomp
PPI::Token::DashedWord::BEGIN@30	href=PPI-Token-DashedWord-pm-87-line.html#30
Perl::Critic::Policy::ClassHierarchies::ProhibitExplicitISA::supported_parameters	href=Perl-ProhibitExplicitISA-pm-751-line.html#27
vars::BEGIN@7	href=vars-pm-9-line.html#7
PPI::Token::Quote::Single::string	href=PPI-Token-Quote-Single-pm-56-line.html#71
Perl::Critic::Policy::ValuesAndExpressions::RequireConstantVersion::BEGIN@25	href=Perl-RequireConstantVersion-pm-307-line.html#25
PPIx::Regexp::Structure::Replacement::BEGIN@39	href=PPIx-Regexp-Structure-Replacement-pm-855-line.html#39
Pod::Simple::BlackBox::BEGIN@1183	href=Pod-Simple-BlackBox-pm-47-line.html#1183
PPIx::Regexp::Token::CharClass::BEGIN@38	href=PPIx-Regexp-Token-CharClass-pm-877-line.html#38
List::Util::BEGIN@9	href=List-Util-pm-23-line.html#9
Perl::Critic::PolicyFactory::BEGIN@30	href=Perl-Critic-PolicyFactory-pm-172-line.html#30
PPI::Statement::Include::version	href=PPI-Statement-Include-pm-435-line.html#264
PPIx::Regexp::Token::GroupType::Subexpression::BEGIN@33	href=PPIx-Regexp-Token-GroupType-Subexpression-pm-914-line.html#33
Perl::Critic::Config::theme	href=Perl-Critic-Config-pm-159-line.html#849
Perl::Critic::Document::BEGIN@12	href=Perl-Critic-Document-pm-808-line.html#12
Perl::Critic::Exception::Fatal::Internal::BEGIN@20	href=Perl-Critic-Exception-Fatal-Internal-pm-148-line.html#20
Perl::Critic::Policy::Modules::RequireBarewordIncludes::applies_to	href=Perl-RequireBarewordIncludes-pm-487-line.html#29
Perl::Critic::Policy::RegularExpressions::ProhibitSingleCharAlternation::BEGIN@19	href=Perl-ProhibitSingleCharAlternation-pm-398-line.html#19
PPI::Token::_QuoteEngine::Simple::BEGIN@8	href=PPI-Token-_QuoteEngine-Simple-pm-93-line.html#8
PPI::Statement::Include::BEGIN@51	href=PPI-Statement-Include-pm-435-line.html#51
PPI::Statement::Unknown::BEGIN@38	href=PPI-Statement-Unknown-pm-443-line.html#38
File::Find::CORE:closedir	href=File-Find-pm-191-line.html#File__Find__CORE_closedir
Perl::Critic::Annotation::_is_single_line_annotation_on_simple_statement	href=Perl-Critic-Annotation-pm-814-line.html#182
Perl::Critic::Policy::ControlStructures::ProhibitCascadingIfElse::BEGIN@12	href=Perl-ProhibitCascadingIfElse-pm-681-line.html#12
constant::CORE:subst	href=constant-pm-20-line.html#constant__CORE_subst
PPI::Statement::Variable::BEGIN@41	href=PPI-Statement-Variable-pm-444-line.html#41
overloading::BEGIN@2	href=overloading-pm-22-line.html#2
Perl::Critic::Config::BEGIN@23	href=Perl-Critic-Config-pm-159-line.html#23
PPI::Structure::BEGIN@97	href=PPI-Structure-pm-446-line.html#97
Perl::Critic::Policy::ValuesAndExpressions::ProhibitEmptyQuotes::BEGIN@11	href=Perl-ProhibitEmptyQuotes-pm-268-line.html#11
Perl::Critic::Policy::BuiltinFunctions::ProhibitComplexMappings::BEGIN@16	href=Perl-ProhibitComplexMappings-pm-760-line.html#16
Cwd::CORE:match	href=Cwd-pm-192-line.html#Cwd__CORE_match
PPIx::Regexp::Element::BEGIN@41	href=PPIx-Regexp-Element-pm-819-line.html#41
PPI::Document::BEGIN@86	href=PPI-Document-pm-456-line.html#86
Config::Tiny::CORE:readline	href=Config-Tiny-pm-803-line.html#Config__Tiny__CORE_readline
PPIx::Regexp::Structure::Assertion::BEGIN@33	href=PPIx-Regexp-Structure-Assertion-pm-831-line.html#33
Perl::Critic::Policy::Miscellanea::ProhibitFormats::BEGIN@13	href=Perl-Critic-Policy-Miscellanea-ProhibitFormats-pm-505-line.html#13
Perl::Critic::Policy::BuiltinFunctions::RequireGlobFunction::violates	href=Perl-RequireGlobFunction-pm-796-line.html#35
Exporter::Tiny::BEGIN@3	href=Exporter-Tiny-pm-65-line.html#3
Perl::Critic::Policy::Subroutines::RequireArgUnpacking::BEGIN@20	href=Perl-RequireArgUnpacking-pm-377-line.html#20
English::BEGIN@192	href=English-pm-5-line.html#192
Perl::Critic::PolicyParameter::Behavior::String::_parse	href=Perl-Critic-PolicyParameter-Behavior-String-pm-211-line.html#22
Path::IsDev::Heuristic::Changelog::basename_regexp	href=Path-IsDev-Heuristic-Changelog-pm-647-line.html#53
Perl::Critic::Policy::Miscellanea::ProhibitFormats::BEGIN@15	href=Perl-Critic-Policy-Miscellanea-ProhibitFormats-pm-505-line.html#15
PPI::Statement::End::BEGIN@47	href=PPI-Statement-End-pm-433-line.html#47
PPI::Element::next_sibling	href=PPI-Element-pm-61-line.html#339
Pod::Usage::BEGIN@13	href=Pod-Usage-pm-25-line.html#13
